organelle,wavelength,intensity,experiment,field_of_view
vacuole,473.78,0.49048734173450775,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
vacuole,483.765,0.6060145638977348,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
vacuole,493.745,0.7440615840741155,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
vacuole,503.735,0.3124146761533399,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
peroxisome,463.8,0.45187688735938897,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
peroxisome,473.78,0.7807194431316098,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
peroxisome,483.765,0.7319153341464354,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
peroxisome,493.745,0.6549738685709802,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
peroxisome,503.735,0.258334111251356,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
vacuole,463.8,0.4160872539668428,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
vacuole,473.78,0.4799271514682702,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
vacuole,483.765,0.6013838358568514,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
vacuole,493.745,0.7486690207635087,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
vacuole,503.735,0.31643892237920884,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
peroxisome,463.8,0.4648591835592909,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
peroxisome,473.78,0.7838346972497663,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
peroxisome,483.765,0.733406534638832,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
peroxisome,493.745,0.6468046058884739,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
peroxisome,503.735,0.2569440030759004,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
vacuole,463.8,0.4362904998157606,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
vacuole,473.78,0.48505053123874714,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
vacuole,483.765,0.612271178612097,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
vacuole,493.745,0.7455331795528177,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
vacuole,503.735,0.31472501082934884,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
peroxisome,463.8,0.35068875393001014,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
peroxisome,473.78,0.7666432185885366,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
peroxisome,483.765,0.7166576883726578,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
peroxisome,493.745,0.6290563221201867,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
peroxisome,503.735,0.24543595459778444,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
vacuole,463.8,0.21271666726710708,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
vacuole,473.78,0.424215120775347,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
vacuole,483.765,0.5471514560280413,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
vacuole,493.745,0.6985779080812607,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
vacuole,503.735,0.28686137920362315,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
peroxisome,463.8,0.3648057946510603,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
peroxisome,473.78,0.7629057224710507,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
