organelle,wavelength,intensity,experiment,field_of_view
mitochondria,610.86,0.23801473167897932,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
LD,570.885,0.5776191735235725,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
LD,580.875,0.5246165673808741,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
LD,590.87,0.5332234066642818,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
LD,600.865,0.6763957791978182,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
LD,610.86,0.27912851216228773,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
mitochondria,570.885,0.30290607210070103,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
mitochondria,580.875,0.3954134792725932,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
mitochondria,590.87,0.33800903045719516,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
mitochondria,600.865,0.555636368704655,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
mitochondria,610.86,0.19667486785285407,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
LD,570.885,0.2692024569636343,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
LD,580.875,0.3993309536507555,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
LD,590.87,0.38471298161939715,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
LD,600.865,0.593974426087036,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
LD,610.86,0.24213748062146986,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-0
mitochondria,570.885,0.3627430277026522,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
mitochondria,580.875,0.43542795197643713,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
mitochondria,590.87,0.3717888414295308,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
mitochondria,600.865,0.5993347956730926,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
mitochondria,610.86,0.20911678419855953,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
LD,570.885,0.31289408376995465,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
LD,580.875,0.4294386667961614,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
LD,590.87,0.4154963508999814,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
LD,600.865,0.6260248264876865,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
LD,610.86,0.26221235469809784,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
mitochondria,570.885,0.423245170630614,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
mitochondria,580.875,0.4825406646258335,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
mitochondria,590.87,0.4002754368867418,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
mitochondria,600.865,0.6079495501239534,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
mitochondria,610.86,0.20838644122502556,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
LD,570.885,0.36260128135701253,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
LD,580.875,0.4761006564980391,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
LD,590.87,0.4388875388121232,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
LD,600.865,0.633377760203652,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
LD,610.86,0.2563137553413411,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
mitochondria,570.885,0.47593667422939273,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
