filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-2,vacuole,32484,8019790,0.3045165644861916,75.18036260007125
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-3,vacuole,21884,8053796,0.30115043760664945,110.83002146749601
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-4,vacuole,21323,8055269,0.29950136947819367,113.14374604958213
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-5,vacuole,27774,8034284,0.30130180082447383,87.15864612714255
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-0,vacuole,47082,7967277,0.29576535772393475,50.04979677988781
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-1,vacuole,63213,7917602,0.30265438423456636,37.90829351437792
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-2,vacuole,87873,7821940,0.2885585372581471,25.68579159606468
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-3,vacuole,106247,7751945,0.28368921202929626,20.698402484253137
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-4,vacuole,111636,7723713,0.27718366931429095,19.17739000027312
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-5,vacuole,109534,7734536,0.279474801494152,19.734583903165888
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-0,vacuole,69068,7869591,0.26887995234999396,30.636115901632323
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-1,vacuole,90129,7792755,0.2700826168907641,23.35194735533054
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-2,vacuole,156393,7544379,0.26867725504007145,12.960957592104245
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-3,vacuole,98654,7747351,0.26022320521849684,20.43546647041911
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-4,vacuole,112057,7676663,0.24912572448705095,17.066798428638442
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-5,vacuole,130907,7610003,0.2534692842247527,14.734903506750753
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-6,vacuole,135378,7587225,0.2510537998920701,14.07024529012182
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-0,ER,43171,9436099,0.16400548571775905,35.84749020814576
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-1,ER,56703,9423763,0.2057699635294758,34.197967811587105
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-2,ER,48475,9487519,0.22886185195152237,44.79280389407438
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-3,ER,51431,9430951,0.1916371373105743,35.140682696356244
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-4,ER,47078,9493313,0.2285173409703177,46.080688299395675
