experiment,filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose,mitochondria_EYrainbow_glu-0-5_field-2,mitochondria,1635.0,1782.0,0.005663396791088204,0.006172582924598886
EYrainbow_glucose,mitochondria_EYrainbow_glu-0-5_field-3,mitochondria,1351.0,1548.0,0.005681770390868794,0.0065102742894632805
EYrainbow_glucose,mitochondria_EYrainbow_glu-0-5_field-4,mitochondria,397.0,477.0,0.007312041846244521,0.00878550116034921
EYrainbow_glucose,mitochondria_EYrainbow_glu-0-5_field-5,mitochondria,752.0,832.0,0.006068725083525671,0.006714334134964572
EYrainbow_glucose,mitochondria_EYrainbow_glu-0_field-0,mitochondria,1377.0,1613.0,0.005125513668036448,0.006003960455005658
EYrainbow_glucose,mitochondria_EYrainbow_glu-0_field-1,mitochondria,2444.0,2894.0,0.005012418245694632,0.005935326678821713
EYrainbow_glucose,mitochondria_EYrainbow_glu-0_field-2,mitochondria,1486.0,1691.0,0.005193552445792733,0.005910025024115418
EYrainbow_glucose,mitochondria_EYrainbow_glu-0_field-3,mitochondria,413.0,476.0,0.010847582276153706,0.012502298216583932
EYrainbow_glucose,mitochondria_EYrainbow_glu-0_field-4,mitochondria,1200.0,1336.0,0.0062914844757620565,0.007004519383015089
EYrainbow_glucose,mitochondria_EYrainbow_glu-0_field-5,mitochondria,1299.0,1426.0,0.005959207640997881,0.006541824554320999
EYrainbow_glucose,mitochondria_EYrainbow_glu-100_field-0,mitochondria,1.0,2378.0,3.5428077459948557e-06,0.008424796819975768
EYrainbow_glucose,mitochondria_EYrainbow_glu-100_field-1,mitochondria,1959.0,1924.0,0.007235510511619661,0.007106239011922526
EYrainbow_glucose,mitochondria_EYrainbow_glu-100_field-2,mitochondria,1.0,2826.0,2.7828487466049245e-06,0.007864330557905516
EYrainbow_glucose,mitochondria_EYrainbow_glu-100_field-3,mitochondria,2333.0,2156.0,0.007006300565188927,0.006474746686046861
EYrainbow_glucose,mitochondria_EYrainbow_glu-200_field-0,mitochondria,2252.0,2342.0,0.007443077970538367,0.0077405366816167215
EYrainbow_glucose,mitochondria_EYrainbow_glu-200_field-1,mitochondria,999.0,1186.0,0.0061983086497118004,0.007358552611169364
EYrainbow_glucose,mitochondria_EYrainbow_glu-200_field-2,mitochondria,1143.0,1140.0,0.007412451361867705,0.007392996108949416
EYrainbow_glucose,mitochondria_EYrainbow_glu-200_field-3,mitochondria,841.0,873.0,0.007321447226381586,0.007600027858063168
EYrainbow_glucose,mitochondria_EYrainbow_glu-200_field-4,mitochondria,578.0,671.0,0.006411394089981365,0.007442985180583903
