filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-4,mitochondria,989,954,0.018215640770619223,0.01757100232069842
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-5,mitochondria,1730,1664,0.013961295737366238,0.013428668269929145
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-0,mitochondria,3222,3226,0.011993031981418618,0.012007920910011316
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-1,mitochondria,5893,5786,0.012085998658706411,0.011866551542385083
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-2,mitochondria,3410,3382,0.011917909717465156,0.011820050048230836
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-3,mitochondria,978,952,0.02568749507525018,0.025004596433167863
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-4,mitochondria,2653,2672,0.013909423595163945,0.014009038766030178
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-5,mitochondria,2902,2852,0.013313025846170785,0.013083649108641997
EYrainbow_glucose/mitochondria_EYrainbow_glu-100_field-0,mitochondria,1,4756,3.5428077459948557e-06,0.016849593639951536
EYrainbow_glucose/mitochondria_EYrainbow_glu-100_field-1,mitochondria,4447,3848,0.016424867404376025,0.014212478023845052
EYrainbow_glucose/mitochondria_EYrainbow_glu-100_field-2,mitochondria,2,5652,5.565697493209849e-06,0.015728661115811032
EYrainbow_glucose/mitochondria_EYrainbow_glu-100_field-3,mitochondria,5223,4312,0.015685344128581982,0.012949493372093722
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-0,mitochondria,5157,4684,0.01704438414478968,0.015481073363233443
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-1,mitochondria,2450,2372,0.015201057249042953,0.014717105222338728
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-2,mitochondria,2585,2280,0.016763942931258106,0.014785992217898832
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-3,mitochondria,1952,1746,0.016993418532576524,0.015200055716126336
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-4,mitochondria,1365,1342,0.015141095039488864,0.014885970361167806
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-5,mitochondria,2182,1958,0.016158773651275594,0.014499944458844003
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-0,mitochondria,4635,4420,0.01995024276023553,0.019024826968768293
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-1,mitochondria,5299,5211,0.01739024846493891,0.017101450226608163
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-2,mitochondria,7864,6978,0.017443266131804903,0.015478015140861471
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-3,mitochondria,9767,8722,0.01711964999982472,0.015287968393413658
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-4,mitochondria,9960,9000,0.01660985518074057,0.015008905283801723
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-5,mitochondria,10885,9748,0.017511627495427028,0.01568243866104021
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-0,mitochondria,2,4005,5.2438797368621144e-06,0.010500869173066385
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-1,mitochondria,5729,5186,0.012978392754391449,0.011748288501356965
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-2,mitochondria,9660,8094,0.0133747776062471,0.011206568317284062
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-3,mitochondria,6364,6464,0.011902201458412429,0.012089225365678495
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-4,mitochondria,1,7026,1.593432508572667e-06,0.011195456805231558
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-5,mitochondria,5198,4620,0.014297856421795017,0.012707983199055979
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-6,mitochondria,8880,7068,0.012880877988494242,0.010252482615166364
