organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,8,77,237.0,206,2.0,2.0,13,4,12,15,5,13
LD,8,77,237.0,245,7.0,8.0,14,1,6,18,3,7
LD,8,77,237.0,314,1.0,1.0,17,5,11,18,6,12
LD,8,77,237.0,405,1.0,1.0,20,5,11,21,6,12
LD,8,78,242.0,208,24.0,54.0,11,13,3,17,16,6
LD,8,78,242.0,209,18.0,30.0,11,16,6,16,18,9
LD,8,78,242.0,247,3.0,4.0,15,13,3,17,14,5
LD,8,78,242.0,317,1.0,1.0,17,15,10,18,16,11
LD,8,78,242.0,318,2.0,2.0,16,16,9,18,17,10
LD,8,78,242.0,319,14.0,20.0,15,16,7,20,18,9
LD,8,78,242.0,378,2.0,2.0,19,5,13,20,6,15
LD,8,78,242.0,460,3.0,3.0,22,15,8,25,16,9
LD,8,79,195.0,123,1.0,1.0,12,2,10,13,3,11
LD,8,79,195.0,124,16.0,30.0,10,7,5,15,10,7
LD,8,79,195.0,163,1.0,1.0,13,7,6,14,8,7
LD,8,79,195.0,205,4.0,4.0,13,2,9,15,3,11
LD,8,79,195.0,207,5.0,6.0,14,7,2,17,9,3
LD,8,79,195.0,280,14.0,24.0,14,2,9,18,5,11
LD,8,79,195.0,281,1.0,1.0,16,4,9,17,5,10
LD,8,79,195.0,282,3.0,4.0,15,8,3,17,10,4
LD,8,79,195.0,315,3.0,4.0,16,9,2,18,10,4
LD,8,79,195.0,347,2.0,2.0,17,7,1,19,8,2
LD,8,79,195.0,348,12.0,36.0,16,7,1,20,10,4
LD,8,79,195.0,377,7.0,12.0,18,3,9,21,5,11
LD,8,79,195.0,423,1.0,1.0,21,7,6,22,8,7
LD,8,79,195.0,424,13.0,24.0,19,7,1,23,10,3
LD,8,79,195.0,459,4.0,4.0,22,7,6,26,8,7
LD,8,80,153.0,379,1.0,1.0,19,6,12,20,7,13
LD,8,80,153.0,407,7.0,8.0,19,7,8,23,8,10
LD,8,81,156.0,164,17.0,45.0,10,6,2,15,9,5
LD,8,81,156.0,246,4.0,4.0,15,8,0,17,9,2
LD,8,81,156.0,316,1.0,1.0,17,9,0,18,10,1
LD,8,81,156.0,406,21.0,36.0,16,1,1,22,4,3
LD,8,84,135.0,32,4.0,6.0,9,10,3,12,11,5
LD,8,84,135.0,79,1.0,1.0,11,5,1,12,6,2
LD,8,85,183.0,7,13.0,24.0,8,7,2,12,9,5
LD,8,85,183.0,125,22.0,60.0,10,4,2,15,8,5
LD,8,85,183.0,165,5.0,8.0,12,6,13,16,7,15
LD,8,86,166.0,80,28.0,60.0,9,6,5,14,10,8
LD,8,86,166.0,248,5.0,8.0,12,5,9,16,7,10
LD,8,86,166.0,283,81.0,135.0,12,3,8,21,6,13
LD,8,86,166.0,284,54.0,108.0,13,8,5,22,11,9
LD,8,87,206.0,81,8.0,12.0,10,8,4,13,10,6
LD,8,88,182.0,82,26.0,72.0,8,10,4,14,13,8
LD,8,88,182.0,83,5.0,8.0,10,10,8,12,12,10
LD,8,88,182.0,126,6.0,12.0,11,4,12,14,6,14
LD,8,88,182.0,128,7.0,9.0,11,11,8,14,12,11
LD,8,88,182.0,129,15.0,36.0,10,11,3,16,13,6
LD,8,88,182.0,166,3.0,3.0,12,9,13,15,10,14
LD,8,88,182.0,249,10.0,27.0,13,10,9,16,13,12
LD,8,88,182.0,285,11.0,28.0,14,11,10,21,13,12
LD,8,88,182.0,320,14.0,45.0,16,10,9,21,13,12
LD,8,88,182.0,349,1.0,1.0,18,2,9,19,3,10
LD,8,88,182.0,350,2.0,2.0,18,3,12,20,4,13
LD,8,88,182.0,380,8.0,12.0,15,12,3,21,13,5
LD,8,89,199.0,33,1.0,1.0,10,7,9,11,8,10
LD,8,89,199.0,127,16.0,30.0,11,3,2,16,5,5
LD,8,90,162.0,34,18.0,54.0,8,6,4,14,9,7
LD,8,90,162.0,35,11.0,24.0,8,7,3,12,9,6
LD,8,90,162.0,130,3.0,4.0,12,6,6,14,8,7
