experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
leu,100,3,4,105,306,288.6045751633987,314.97712418300654,280,301,297,327,0.7613513894647054
leu,100,3,4,106,91,288.54945054945057,295.989010989011,283,291,295,302,0.5714193844506079
leu,100,3,4,107,205,292.30243902439025,249.25853658536585,284,242,301,258,0.6182895062005882
leu,100,3,4,108,117,288.36752136752136,283.6068376068376,284,276,294,291,0.7335034873927021
leu,100,3,4,109,364,295.3791208791209,268.14835164835165,286,257,306,280,0.41817775617839925
leu,100,3,4,110,118,291.9237288135593,395.53389830508473,286,389,298,404,0.363755082522659
leu,100,3,4,111,214,296.7710280373832,409.3551401869159,289,401,306,419,0.6364095048143051
leu,100,3,4,112,206,297.72330097087377,152.1747572815534,290,144,306,162,0.46274004642175776
leu,100,3,4,113,176,297.6363636363636,381.9261363636364,291,374,306,391,0.42587661130130156
leu,100,3,4,114,209,302.5980861244019,366.99043062200957,294,360,312,375,0.6730751498438095
leu,100,3,4,116,219,308.3835616438356,420.5662100456621,301,412,317,431,0.47483946695785084
leu,100,3,4,117,118,309.9830508474576,382.3898305084746,305,376,316,391,0.6997261639948967
leu,100,3,4,118,333,317.35735735735733,397.04804804804803,308,386,327,409,0.5503328626658458
leu,100,3,4,119,215,316.7953488372093,353.5348837209302,309,346,327,362,0.5089641822982867
leu,100,3,4,120,298,318.6677852348993,445.1241610738255,309,435,329,456,0.3101698042032743
leu,100,3,4,121,79,315.2911392405063,333.62025316455697,310,330,321,339,0.6613614807537666
leu,100,3,4,123,155,323.9225806451613,216.69032258064516,318,209,331,225,0.6677716311496462
leu,100,3,4,124,216,325.0416666666667,232.59722222222223,318,224,333,242,0.6017161073053975
leu,100,3,4,125,285,326.0736842105263,304.13684210526316,318,292,335,316,0.7200303764053955
leu,100,3,4,126,344,329.5436046511628,134.38081395348837,320,124,341,146,0.3250442501385341
leu,100,3,4,127,87,325.6666666666667,457.5287356321839,320,452,331,463,0.4657731843310601
leu,100,3,4,128,250,328.172,332.26,321,322,338,343,0.643340579964872
leu,100,3,4,129,280,330.25357142857143,410.99285714285713,322,401,340,422,0.5247290083542892
leu,100,3,4,130,205,333.7170731707317,351.66341463414636,325,345,343,360,0.5477319088976863
leu,100,3,4,131,191,334.4188481675393,164.40314136125656,328,154,342,174,0.6709986557198012
leu,100,3,4,132,278,335.48201438848923,440.59712230215825,328,429,344,452,0.6970741897752961
leu,100,3,4,133,77,334.7922077922078,148.67532467532467,330,144,340,154,0.4246228354848532
leu,100,3,4,134,254,341.0472440944882,288.26771653543307,332,280,351,298,0.5543095680733036
leu,100,3,4,135,139,338.52517985611513,423.64028776978415,332,416,345,431,0.5340447355324037
leu,100,3,4,136,239,342.61087866108784,325.69456066945605,333,316,353,336,0.7900804064736208
leu,100,3,4,137,81,343.18518518518516,412.641975308642,338,408,349,418,0.44033079047602147
leu,100,3,4,139,267,349.9138576779026,343.4456928838951,342,332,359,356,0.7992788246340997
leu,100,3,4,140,238,351.64285714285717,185.6596638655462,344,176,361,195,0.4294098376212993
leu,100,3,4,141,290,354.5103448275862,360.64827586206894,344,352,366,370,0.6852748199674479
leu,100,3,4,142,373,355.4396782841823,312.857908847185,347,299,364,328,0.8304759901857329
leu,100,3,4,143,251,356.996015936255,377.0278884462151,348,369,369,386,0.6516971687227944
leu,100,3,4,144,113,354.4513274336283,292.7699115044248,349,287,361,299,0.2502299288580727
leu,100,3,4,145,178,363.7303370786517,330.185393258427,355,323,373,337,0.678883984595761
leu,100,3,4,146,79,361.54430379746833,194.54430379746836,357,190,367,200,0.22099509463985625
leu,100,3,4,148,271,371.42435424354244,387.380073800738,363,377,381,398,0.621733872087046
leu,100,3,4,149,151,371.4503311258278,355.6225165562914,365,349,379,363,0.4193257425311725
leu,100,3,4,150,78,369.6025641025641,372.43589743589746,365,368,375,378,0.29228970146270433
leu,100,3,4,151,127,370.74015748031496,463.88188976377955,365,457,377,472,0.5849308128358246
leu,100,3,4,152,265,372.84150943396224,479.3509433962264,365,470,382,490,0.49038367547753187
leu,100,3,4,153,208,375.3701923076923,315.0769230769231,367,307,384,325,0.6707464080971207
leu,100,3,4,154,167,377.47904191616766,228.09580838323353,370,222,386,236,0.5239729624396281
leu,100,3,4,155,240,379.06666666666666,333.32916666666665,371,324,388,344,0.6177905184084324
leu,100,3,4,156,242,382.8264462809917,450.801652892562,375,441,392,461,0.5628264547810794
leu,100,3,4,158,214,392.8878504672897,223.79906542056074,385,216,401,233,0.24894795876110526
leu,100,3,4,159,78,400.15384615384613,491.37179487179486,396,487,406,498,0.41410539994838147
leu,100,3,4,160,344,412.59302325581393,497.0494186046512,401,486,425,507,0.7567556629269088
leu,100,3,4,161,359,410.4930362116992,235.2116991643454,402,224,421,248,0.672729670438419
leu,100,3,4,162,194,410.08762886597935,214.91752577319588,403,207,418,224,0.5221794411695114
leu,100,3,4,163,140,411.0571428571429,101.35,405,94,419,109,0.556631775923141
leu,100,3,4,164,388,416.30670103092785,119.28865979381443,406,108,428,132,0.5371801272427681
leu,100,3,4,165,268,413.8320895522388,161.44776119402985,406,152,424,173,0.5688980105960904
leu,100,3,4,166,181,415.35911602209944,179.43093922651934,408,171,423,188,0.5171719861786681
