YFP Volume Fraction,YFP Total Volume,Organelle Total Volume,Organelle Volume Fraction,Cell Volume
0,0,6.605305304,0.145613506,45.36190011
0.003918073,0.206542845,9.606088222,0.182225391,52.715421
0.000883964,0.058676944,5.770130606,0.086926653,66.37930297
0,0,11.72737832,0.193859654,60.4941673
0,0,5.248815206,0.089937182,58.36090354
0,0,2.876916749,0.070148029,41.01208274
0,0,3.882367815,0.109902348,35.32561285
0,0,6.027038896,0.123125733,48.9502782
0.005051432,0.262872711,7.96336592,0.153026161,52.03924517
0,0,5.790111136,0.076749623,75.44155827
0,0,5.588992874,0.134813018,41.45736785
0.002382328,0.166642522,19.04271157,0.272235373,69.94943878
0,0,5.393225071,0.106469046,50.65533375
0,0,7.728996508,0.105659934,73.14973827
0.006232663,0.375532445,5.162587843,0.085682801,60.25232327
0,0,13.34184602,0.239589018,55.68638373
0.005821321,0.281649334,7.809084044,0.161403499,48.38237155
0,0,6.371915584,0.077707462,81.99876102
0,0,15.93836495,0.226219594,70.45528059
0,0,2.381709947,0.06703142,35.53124725
0,0,4.100067083,0.116360332,35.235952
0.000638119,0.056329867,8.395241578,0.095103491,88.27479909
0,0,10.16390161,0.203789411,49.87453252
0,0,4.257827451,0.092664809,45.94869944
0.009615567,0.713511645,23.74039004,0.319934959,74.20380099
0,0,6.081663717,0.098458608,61.7687358
0.002822299,0.206542845,6.00800718,0.082096252,73.18247867
0,0,3.570404489,0.104714919,34.09642609
0,0,3.283966608,0.080545678,40.77148158
0.003806175,0.262872711,6.731002328,0.097459226,69.06480412
0.003806581,0.267566867,17.48486077,0.248751068,70.29059585
0.002303505,0.119700967,16.04483108,0.308764032,51.96470251
0.001034972,0.124395122,14.05811576,0.116964084,120.1917312
0,0,1.726182,0.045399253,38.02225539
0,0,12.73565565,0.154262939,82.55810322
0,0,4.462183035,0.093765602,47.58869929
0.001095722,0.061024022,12.10899058,0.217423988,55.6929836
0,0,9.743339074,0.200231157,48.66045446
0,0,4.457073074,0.096357569,46.25555759
0.00590738,0.260525634,8.559750361,0.19409106,44.10172402
0.005170122,0.225319467,10.86339472,0.249268613,43.58107743
0,0,2.484392478,0.049452531,50.2379232
0,0,3.479333212,0.084931673,40.96626231
0.003013208,0.161948367,7.979321616,0.148463087,53.74616516
0.008446287,0.790965212,26.02460336,0.277902559,93.64650507
0,0,9.941211744,0.189608494,52.43020259
0,0,3.514589026,0.099572793,35.29668006
0.002806831,0.093883111,2.833663221,0.084718247,33.4480862
0,0,5.186869736,0.076452245,67.84457078
0.005181569,0.436556467,15.13885747,0.179685876,84.25179415
0,0,3.726912919,0.077444276,48.12380118
0.004861546,0.2746081,10.83676008,0.191849443,56.48575219
0,0,3.748691011,0.062767207,59.72371906
0.001956852,0.180724989,29.97556994,0.324569189,92.35494592
0,0,3.714231428,0.087879415,42.26509072
0.00369514,0.340326278,20.40175167,0.221514835,92.10106271
0.003040555,0.157254211,12.76145006,0.246746289,51.71891379
0,0,5.493628841,0.087133053,63.04873598
0.001606595,0.171336678,14.83798499,0.139133234,106.6458718
0,0,8.995083809,0.106772329,84.24545814
0.002003542,0.098577267,9.760845113,0.198385127,49.20149637
0,0,3.900038307,0.080304007,48.56592425
0,0,10.15038725,0.271845963,37.33874554
0.004950625,0.321549656,10.24261438,0.157696778,64.95132325
0.008037826,0.603198989,24.7993023,0.330458908,75.04504098
0,0,4.592540636,0.082123162,55.92259864
0.001121047,0.049288633,8.521393139,0.193815117,43.96660731
0,0,11.09226124,0.22200813,49.96331089
0,0,9.490401704,0.203788498,46.56985951
0,0,2.188973136,0.041052997,53.32066544
0.003044823,0.248790245,18.64119243,0.228140508,81.70926149
0,0,2.101998305,0.042061095,49.97488352
0,0,13.08791012,0.362803612,36.07436556
0,0,6.924543087,0.180476028,38.36821523
0.00864867,0.4013503,9.484880099,0.204389031,46.40601335
0.00596353,0.197154534,4.590998331,0.138868516,33.06003739
0,0,7.00294139,0.102413348,68.37918639
0.004369817,0.133783433,6.623972031,0.216361206,30.61534061
0,0,7.165603259,0.178615898,40.11738786
0,0,2.851717679,0.068957264,41.3548551
0,0,8.176417185,0.204605392,39.96188516
0.0037177,0.180724989,6.352844811,0.130684575,48.6120478
0,0,3.015719945,0.084839446,35.54620016
0.008566592,0.739329501,17.29347497,0.200379059,86.30380358
0.000691083,0.098577267,30.99394369,0.217285148,142.6417959
0.003036381,0.199501611,9.558375658,0.145476882,65.70374306
0,0,6.936206574,0.130269132,53.24520432
0.009767171,0.391961989,4.343688132,0.108238921,40.13055639
0.001403232,0.089188956,16.6006654,0.261182303,63.55968678
0,0,4.763582142,0.113477949,41.97804237
0,0,17.54902032,0.257812354,68.0689658
0.001665258,0.058676944,4.307821486,0.122256436,35.23594842
0.005518298,0.5069688,4.758972457,0.051800877,91.87049931
0,0,10.02578121,0.163236703,61.41867018
0,0,5.517089816,0.175478672,31.44023009
0.001968432,0.122048045,11.91835548,0.192223291,62.00266065
0,0,5.265029753,0.17009857,30.952816
0,0,4.451226854,0.107029127,41.58892971
0,0,5.072085735,0.085994719,58.98136302
0,0,8.470728841,0.179036231,47.31293107
0.000830397,0.070412333,20.36127821,0.240127462,84.79362611
0,0,6.858356244,0.114443869,59.92768616
0,0,9.127765253,0.153043937,59.64146935
0.0020513,0.145518822,8.603920265,0.121284792,70.93981148
0.002943817,0.1478659,8.630145552,0.171814939,50.22930845
0,0,14.55315091,0.437302782,33.27934674
0,0,3.330744492,0.097935806,34.00946637
0.003081244,0.178377911,13.98878842,0.241637959,57.89151879
0,0,2.236127499,0.046367922,48.22574332
0.007181534,0.624322689,21.69101841,0.249510044,86.9344499
0,0,8.179704165,0.181167495,45.1499545
0,0,3.674711547,0.052057941,70.58887568
0,0,12.67522707,0.285536759,44.39087676
0,0,14.27616158,0.290896426,49.07644192
0,0,17.96157225,0.280782401,63.96972241
0,0,4.097510256,0.12726126,32.19762438
0,0,2.415507195,0.065563327,36.84235249
0,0,24.34392185,0.322876038,75.39711522
0,0,2.56946024,0.06473456,39.69224861
0,0,2.476966733,0.075646188,32.7441052
0,0,24.21641745,0.394721082,61.35070704
0,0,3.164461947,0.056542951,55.96563143
0,0,3.586103718,0.103295072,34.71708412
0.001559856,0.075106489,7.540927226,0.156614447,48.14962706
0,0,10.40525293,0.240886202,43.19572004
0,0,12.20478419,0.27636855,44.16126294
0,0,8.242959982,0.18828371,43.77946437
0,0,4.833744627,0.104059321,46.45181777
0,0,12.81318102,0.262063685,48.8933864
0.001432372,0.079800645,4.530204032,0.081314346,55.71223569
0.002070503,0.222972389,29.04551081,0.269714183,107.6899647
0,0,7.566040263,0.212362547,35.62794077
0,0,2.334793881,0.066526095,35.09591036
0,0,13.57016809,0.23335227,58.15314363
0,0,3.316415692,0.086576075,38.306376
0,0,4.734633585,0.112391088,42.12641469
0.002342481,0.138477589,16.03766818,0.271292487,59.11578445
0,0,9.45461619,0.225169096,41.98896012
0,0,4.62943511,0.138719795,33.37256298
0.005188965,0.300425956,18.40946174,0.317968685,57.89709054
0,0,7.838699236,0.158571725,49.43314593
0.001769224,0.089188956,12.10264496,0.240077802,50.4113452
0,0,8.614464134,0.188037883,45.81238621
0,0,25.484537,0.309685262,82.29173344
0.002426214,0.103271422,9.183931091,0.21576331,42.5648415
0,0,6.143630955,0.168265748,36.51147684
