organelle,index,segmented,average,standard_deviation
ER,72,2100.0,2356.9606,626.7217352602669
ER,75,1265.0,1426.3479,393.31763355536197
ER,76,1857.0,2050.98125,536.4866116674651
ER,77,1427.0,1639.11855,499.88198466827896
ER,78,2176.0,2437.7493,674.0343294295254
ER,80,1226.0,1378.73955,415.3744518092049
ER,81,1278.0,1449.2161,449.4617688978563
ER,82,1041.0,1119.182,436.07662168018135
ER,85,1485.0,1628.067,447.67133559230706
ER,87,939.0,990.4495,387.00476424683717
ER,88,1097.0,1198.35585,393.23458586545706
ER,89,1299.0,1404.972,566.0064524508532
ER,90,1748.0,1963.61955,554.3965333656024
ER,91,1810.0,2070.07905,648.1776720167838
ER,92,1457.0,1616.7058,520.817720365158
ER,93,1111.0,1263.70755,395.24671968657435
ER,94,1587.0,1802.8478,607.7269393692861
ER,95,1237.0,1366.7861,379.863658497085
ER,96,1115.0,1194.21495,427.7437076644115
ER,97,1311.0,1495.0357,474.0314530972708
ER,99,1320.0,1463.8697,500.3736654960071
ER,100,1260.0,1408.4174,476.07062341341754
ER,101,695.0,781.11305,228.6386082220094
ER,102,1481.0,1664.9394,513.0688092523652
ER,103,2179.0,2410.37805,763.1088294130776
ER,105,1207.0,1353.71485,436.6912867684418
ER,108,1231.0,1387.9225,455.0141563663157
ER,109,1722.0,1937.0477,539.7143420594916
ER,112,1060.0,1124.5635,409.0824286959169
ER,113,424.0,449.72745,188.5373317581892
ER,115,612.0,655.2898,258.06898576923186
ER,116,843.0,924.40315,328.0131465659227
ER,118,964.0,1053.1958,318.70249679342015
ER,119,1217.0,1356.59695,470.60457095176787
ER,120,1214.0,1334.90475,434.798904526492
ER,121,810.0,919.80645,289.20385092248944
ER,125,659.0,705.33635,227.9164930817371
golgi,1,202.0,186.7308,77.81017627123074
golgi,2,109.0,111.2482,55.12102046188913
golgi,3,133.0,95.7929,39.71746731086966
golgi,4,146.0,153.7433,68.47324079602191
golgi,5,67.0,1.89555,10.475000725417637
golgi,6,148.0,152.93415,61.702718042056304
golgi,7,316.0,317.4678,122.50055535857787
golgi,8,206.0,209.45945,87.2732104124599
golgi,9,259.0,249.2014,102.47763530663654
golgi,10,422.0,446.70945,180.03191114548972
golgi,11,530.0,562.0095,218.16714145294657
golgi,12,294.0,290.4337,116.90008427845551
golgi,13,290.0,281.473,110.05844570499804
golgi,14,370.0,337.2675,137.7192275746201
golgi,15,334.0,321.2135,138.99800328691776
golgi,16,114.0,117.8515,43.54801657653308
golgi,17,220.0,201.1605,80.6028054086829
golgi,18,330.0,324.6782,122.37613919698562
golgi,19,367.0,384.4867,148.80777877217977
golgi,20,529.0,538.0434,209.96717223518536
golgi,21,246.0,260.3242,111.34363742199191
golgi,22,185.0,187.90955,76.41508207675695
golgi,23,387.0,426.0014,173.1142339556167
golgi,24,186.0,191.33725,72.49516337272094
golgi,25,249.0,249.1215,99.36739675441841
golgi,26,311.0,320.5372,128.86317672694554
golgi,28,114.0,112.1543,41.52563174125109
golgi,29,227.0,214.73975,87.91851579694405
golgi,30,315.0,293.47405,114.48666964584785
golgi,31,213.0,215.52105,82.38396541134385
golgi,32,286.0,295.7176,123.8533634999066
golgi,33,593.0,586.18245,243.61700835942776
golgi,34,295.0,282.4785,113.07534893932453
golgi,35,112.0,120.8399,52.99500417954508
golgi,36,287.0,294.21595,124.38454210872628
golgi,37,220.0,236.01555,97.08723246749543
golgi,38,165.0,155.9596,55.69010924607708
golgi,39,207.0,198.00055,72.18683640178104
golgi,40,263.0,269.3388,111.56656360469296
golgi,42,229.0,245.67905,91.7844656850902
golgi,43,283.0,250.09335,97.51829487730751
golgi,44,326.0,338.13915,114.45345336545114
golgi,46,405.0,396.99975,151.13265050920498
golgi,47,350.0,357.17465,140.43265306679035
golgi,48,296.0,315.93905,124.91814053650293
golgi,49,382.0,417.46755,164.92851101916096
golgi,50,551.0,576.9468,221.5398706096941
golgi,51,276.0,267.2087,98.55965830049333
golgi,52,212.0,225.3626,97.2141137965059
golgi,53,224.0,208.4888,85.54525629489925
golgi,56,317.0,347.67275,138.86996420190187
golgi,57,281.0,301.77225,123.58684590172815
golgi,59,365.0,354.99305,136.62202495094814
golgi,60,257.0,250.2466,100.00012094212687
golgi,61,313.0,338.3265,133.90486472772375
golgi,62,481.0,507.78585,193.14551687724335
golgi,63,269.0,278.6249,115.00059434624676
golgi,66,82.0,72.35485,25.11243579339726
golgi,67,331.0,341.35045,143.64169601754745
golgi,68,293.0,278.39865,113.4098991630691
golgi,70,276.0,276.4902,99.50889459721678
golgi,72,389.0,399.98945,159.70722256271787
golgi,75,212.0,223.68485,83.96739087572925
golgi,76,291.0,308.03275,126.38742570935409
golgi,77,239.0,245.46455,92.11125524764874
golgi,78,391.0,417.7231,160.02367489340446
golgi,80,180.0,194.7602,77.15418067713505
golgi,81,189.0,190.1549,76.02457172513371
golgi,82,140.0,141.45915,60.34700432728621
golgi,85,241.0,236.77135,89.93941443648329
golgi,87,169.0,161.6711,64.10911888951524
golgi,88,109.0,86.7999,34.385099388979526
golgi,89,215.0,211.2014,85.82430155870772
golgi,90,295.0,285.23985,118.95028886882747
golgi,91,313.0,318.61485,122.97314507435149
golgi,92,164.0,143.50225,57.940997531432785
golgi,93,93.0,89.98175,35.0211724095225
golgi,94,191.0,169.9468,70.2974613322558
golgi,95,193.0,191.3299,72.47325345249791
golgi,96,196.0,166.289,71.7523963293213
golgi,97,136.0,137.75105,56.14693022683876
golgi,99,213.0,226.94055,87.57517922161222
golgi,100,165.0,158.52715,65.75927434877532
golgi,101,119.0,129.2907,51.781595123267486
golgi,102,89.0,66.9042,31.15508662096769
golgi,103,396.0,436.00775,176.018288509852
golgi,105,279.0,268.9785,109.58510317442787
golgi,108,193.0,181.08275,76.83832639013879
golgi,109,252.0,229.59895,90.16789178470071
golgi,112,178.0,158.77685,66.33230400097301
golgi,113,167.0,161.37445,68.71170742455394
golgi,115,115.0,109.30585,44.330703871893355
golgi,116,157.0,158.21765,60.54835157522871
golgi,118,178.0,189.66475,66.20796219064215
golgi,119,245.0,248.6893,91.31770291411189
golgi,120,162.0,156.502,69.02177552048339
golgi,121,70.0,36.40245,16.8818388808062
golgi,125,197.0,210.8005,82.5883000173148
mitochondria,1,1715.0,1510.7313,395.10165274307576
mitochondria,2,1132.0,827.19105,310.34697815493143
mitochondria,3,1286.0,1065.6504,332.83553112587003
mitochondria,4,1226.0,1151.39785,269.2642133024318
mitochondria,5,1449.0,1168.28985,416.7769131525612
mitochondria,6,928.0,815.1727,239.0507223890152
mitochondria,7,2204.0,1965.43765,479.19315397079447
mitochondria,8,1531.0,1478.5869,324.47167618821527
mitochondria,9,1645.0,1498.99215,355.11763612692835
mitochondria,10,1739.0,1677.52435,351.77607096998156
mitochondria,11,2161.0,1944.39145,503.9987728327297
mitochondria,12,1523.0,1439.0271,321.9064354212105
mitochondria,13,1711.0,1602.1282,375.7578959446627
mitochondria,14,2014.0,1862.79485,421.95025223772234
mitochondria,15,1683.0,1534.85985,386.97070768725825
mitochondria,16,717.0,691.81245,155.94668215450272
mitochondria,17,1630.0,1581.10665,314.7539306756589
mitochondria,18,1632.0,1599.25115,332.17147390117276
mitochondria,19,1720.0,1604.0086,390.32294670700566
mitochondria,20,2181.0,2053.24325,425.83871193145126
mitochondria,21,1442.0,1409.1195,289.7400726854158
mitochondria,22,1548.0,1369.2187,357.62033061657723
mitochondria,23,1761.0,1683.4559,367.2633687902865
mitochondria,24,1277.0,1089.45485,297.0527699946215
mitochondria,25,1466.0,1317.5799,347.9282089971867
mitochondria,26,1253.0,1153.3738,267.8188583232331
mitochondria,28,654.0,606.20485,138.32927704024735
mitochondria,29,1032.0,938.94975,227.09016849026622
mitochondria,30,1262.0,1186.3299,252.0023731356314
mitochondria,31,1524.0,1383.75665,337.558769002936
mitochondria,32,1644.0,1441.50845,367.2117371879574
mitochondria,33,2468.0,2145.6739,592.3391054613818
mitochondria,34,1189.0,1072.1727,268.0788887150758
mitochondria,35,567.0,524.21985,123.10128478605534
mitochondria,36,1380.0,1193.67875,293.6405320258726
mitochondria,37,1025.0,952.1132,243.05048690706218
mitochondria,38,916.0,705.6305,232.97246225627183
mitochondria,39,1026.0,853.00995,250.73036264281495
mitochondria,40,1588.0,1399.36005,393.56583453597375
mitochondria,42,1327.0,1266.91255,292.7367219917882
mitochondria,43,1563.0,1382.3073,329.73949712873343
mitochondria,44,1628.0,1476.2806,369.28442163681916
mitochondria,46,1663.0,1457.45235,371.20143618994456
mitochondria,47,1966.0,1765.0659,450.44091072768913
mitochondria,48,1720.0,1540.19875,355.9957239187537
mitochondria,49,1851.0,1809.31425,367.51515832267046
mitochondria,50,1925.0,1753.07905,424.2488167350588
mitochondria,51,1577.0,1380.94725,358.565491880406
mitochondria,52,1706.0,1611.5756,349.26368188610735
mitochondria,53,1725.0,1571.4025,359.28559196515243
mitochondria,56,1624.0,1543.52,347.6628309152418
mitochondria,57,1352.0,1248.2424,295.38860970294706
mitochondria,59,1713.0,1588.42,372.12494796774916
mitochondria,60,1083.0,937.7499,241.72513512249816
mitochondria,61,1272.0,1136.67125,290.30240177001207
mitochondria,62,2016.0,1810.202,432.7027439201189
mitochondria,63,1506.0,1389.574,296.61200080913784
mitochondria,66,424.0,389.7166,78.70443306726757
mitochondria,67,1677.0,1610.75485,343.74255635791957
mitochondria,68,1272.0,1124.6943,267.3382319226152
mitochondria,70,1692.0,1486.3993,379.8098532943952
mitochondria,72,1925.0,1756.66365,391.8813223651741
mitochondria,75,1118.0,1060.2092,238.12722027386957
mitochondria,76,1568.0,1468.27705,340.67787819771553
mitochondria,77,1336.0,1189.52745,306.9391720626377
mitochondria,78,1857.0,1636.2324,412.75843309403143
mitochondria,80,1204.0,1050.2668,266.0973279042088
mitochondria,81,1403.0,1194.64865,330.8394246506566
mitochondria,82,1439.0,1176.25155,373.8284860368422
mitochondria,85,1501.0,1344.94675,312.8679918343158
mitochondria,87,1419.0,1196.4849,349.85526317605974
mitochondria,88,1053.0,901.4761,245.4451346610684
mitochondria,89,1590.0,1257.40625,427.39183802564304
mitochondria,90,1608.0,1526.89005,307.1380192372763
mitochondria,91,1646.0,1356.91945,408.8087185490269
mitochondria,92,1231.0,983.44965,308.79899135987716
mitochondria,93,1346.0,1235.3275,260.96868824391555
mitochondria,94,1403.0,1105.50715,331.35318264485926
mitochondria,95,1255.0,1213.54185,249.88431713210315
mitochondria,96,1539.0,1459.19785,317.7519373747035
mitochondria,97,1287.0,1063.00995,302.47865420719774
mitochondria,99,1680.0,1556.64125,329.2160578532546
mitochondria,100,1450.0,1268.6137,313.18288710002975
mitochondria,101,574.0,461.48105,150.34240732706624
mitochondria,102,1316.0,1027.299,344.4995436847486
mitochondria,103,2334.0,2164.84425,499.9644878308234
mitochondria,105,1341.0,1210.16235,280.767299720743
mitochondria,108,1509.0,1304.755,343.44525615445616
mitochondria,109,1472.0,1410.03975,324.67151456501
mitochondria,112,1708.0,1555.0369,373.91315975556415
mitochondria,113,1023.0,1038.01265,221.4621987833985
mitochondria,115,1088.0,935.57835,262.1843957242259
mitochondria,116,1257.0,1200.5645,265.94666578047185
mitochondria,118,1067.0,1038.65605,237.5060838134415
mitochondria,119,1492.0,1405.45715,341.06685527016185
mitochondria,120,1300.0,1116.8924,305.08567062751405
mitochondria,121,883.0,695.91455,234.4183135940908
mitochondria,125,1134.0,1025.3287,252.12409197914823
LD,1,233.0,92.97815,70.55870940272008
LD,2,70.0,0.2882,4.100578100707264
LD,3,88.0,0.3205,3.5611907769733424
LD,4,133.0,64.593,31.46332708090484
LD,5,77.0,0.2722,3.4459696980675845
LD,6,60.0,0.11215,2.4180927148271216
LD,7,308.0,241.0745,118.6173863721082
LD,8,140.0,50.81795,34.026580900782555
LD,9,188.0,5.5509,21.198743104014444
LD,10,183.0,9.9555,38.310072040522186
LD,11,454.0,419.2854,188.60447647614305
LD,12,234.0,115.73245,46.27652500996051
LD,13,260.0,164.93165,90.1985480940658
LD,14,241.0,180.1223,84.55469261200115
LD,15,210.0,16.2678,36.19204723637501
LD,16,153.0,55.5871,59.27426350103391
LD,17,261.0,197.767,107.47632209468279
LD,18,177.0,78.1419,44.6339877715402
LD,19,237.0,190.65205,100.09617915184126
LD,20,352.0,291.55935,148.05097290317786
LD,21,239.0,214.9584,107.76483920760055
LD,22,173.0,35.9731,36.05642212408214
LD,23,248.0,166.5567,84.22700330125726
LD,24,167.0,3.3386,26.317614824295912
LD,25,219.0,163.9326,98.66569037532754
LD,26,170.0,82.9397,39.739405681388845
LD,28,119.0,74.66085,51.315666489654994
LD,29,154.0,121.2796,65.67002835266634
LD,30,167.0,125.31455,55.06930731630369
LD,31,212.0,150.25805,92.22812673039336
LD,32,189.0,4.67105,18.402117864460603
