organelle,index,segmented,average,standard_deviation
LD,6,60.0,0.1068,1.6821099131745227
LD,7,308.0,257.8546,83.83693373949217
LD,8,140.0,91.1659,45.48720894042632
LD,9,188.0,63.85735,35.07242080292576
LD,10,183.0,99.35245,49.070770617522406
LD,11,454.0,431.77665,134.7104178034405
LD,12,234.0,174.78815,49.81646685160941
LD,13,260.0,221.68685,84.97682853035585
LD,14,241.0,181.2644,55.41175861349286
LD,15,210.0,116.6541,52.089663592597724
LD,16,153.0,123.4487,53.40850651637808
LD,17,261.0,211.11205,78.67039338148437
LD,18,177.0,121.74195,50.0209402170481
LD,19,237.0,212.85,75.52616367855579
LD,20,352.0,332.3551,113.04239560443683
LD,21,239.0,221.92325,77.3821391500487
LD,22,173.0,123.99795,50.21500219852131
LD,23,248.0,210.79945,74.28221408720596
LD,24,167.0,66.84535,29.873257829997385
LD,25,219.0,173.6691,73.78404844673406
LD,26,170.0,122.25985,37.90295012235195
LD,28,119.0,91.54175,41.58929017111858
LD,29,154.0,130.73065,48.48880180595825
LD,30,167.0,136.8021,42.07890012333973
LD,31,212.0,176.63845,73.05819414410337
LD,32,189.0,132.30095,59.373354116956364
LD,33,372.0,318.5991,104.18223590991892
LD,34,144.0,115.9563,35.41425829111772
LD,35,94.0,81.4001,33.21336056453788
LD,36,146.0,83.95105,39.410787278326474
LD,37,171.0,166.19375,57.4159708699374
LD,38,96.0,31.9546,14.34132974448325
LD,39,59.0,21.5146,9.20169478085423
LD,40,318.0,264.69185,87.7975933245183
LD,42,272.0,204.14435,81.44492073221939
LD,43,289.0,238.53635,83.97784695190452
LD,44,243.0,185.3575,59.92117650505537
LD,46,224.0,190.5555,72.61023495176146
LD,47,264.0,152.70065,75.03796598774183
LD,48,252.0,212.73555,82.02953989995007
LD,49,198.0,125.6479,55.89413319472805
LD,50,299.0,239.09195,77.22854391478258
LD,51,233.0,213.833,79.99750690490298
LD,52,276.0,177.54055,41.243032814009936
LD,53,200.0,149.31535,64.36410959826524
LD,56,220.0,157.3318,55.5386505846154
LD,57,182.0,144.1733,44.279817830587334
LD,59,208.0,164.43595,60.56064231493504
LD,60,113.0,83.72815,28.148180182340386
LD,61,152.0,86.9554,29.36712295816531
LD,62,249.0,157.62475,61.81434248972887
LD,63,178.0,92.50445,43.75866748653917
LD,66,62.0,49.70675,24.284034970274195
LD,67,197.0,100.8362,40.61088979030132
LD,68,145.0,49.05905,25.778071361091
LD,70,263.0,236.4882,81.3664430877988
LD,72,295.0,262.93985,104.0567111337731
LD,75,143.0,98.06625,40.33819233601699
LD,76,236.0,186.96385,63.002644731610275
LD,77,219.0,201.4927,73.16362379427362
LD,78,266.0,259.3932,94.01354526747728
LD,80,139.0,88.94725,37.13086004171598
LD,81,177.0,121.0065,45.805885623465464
LD,82,125.0,13.9893,9.877650809276464
LD,85,169.0,120.8623,48.25084909833193
LD,87,147.0,130.21665,49.97362917357014
LD,88,148.0,89.59285,32.83263588074372
